Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766143545,2.46,1.48,2.45,1.48,0.009999999999999787
1766143545,2.46,1.48,2.44,1.48,0.020000000000000018
1766143545,2.46,1.48,2.45,1.49,0.014142135623730807
1766143545,2.46,1.48,2.45,1.48,0.009999999999999787
1766143546,2.46,1.48,2.46,1.47,0.010000000000000009
1766143546,2.46,1.48,2.45,1.46,0.022360679774997817
1766143546,2.46,1.48,2.45,1.47,0.014142135623730807
1766143546,2.46,1.48,2.45,1.46,0.022360679774997817
1766143546,2.46,1.48,2.46,1.46,0.020000000000000018
1766143546,2.46,1.48,2.45,1.47,0.014142135623730807
1766143546,2.46,1.48,2.45,1.46,0.022360679774997817
1766143546,2.46,1.48,2.46,1.47,0.010000000000000009
1766143546,2.46,1.48,2.46,1.47,0.010000000000000009
1766143546,2.46,1.48,2.46,1.46,0.020000000000000018
1766143547,2.46,1.48,2.47,1.47,0.01414213562373112
1766143547,2.46,1.48,2.47,1.46,0.022360679774998015
1766143547,2.46,1.48,2.49,1.45,0.04242640687119305
1766143547,2.46,1.48,2.48,1.45,0.036055512754639925
1766143547,2.46,1.48,2.47,1.46,0.022360679774998015
1766143547,2.46,1.48,2.48,1.47,0.022360679774997918
1766143547,2.46,1.48,2.48,1.46,0.028284271247461926
1766143547,2.46,1.48,2.47,1.47,0.01414213562373112
1766143547,2.46,1.48,2.47,1.47,0.01414213562373112
1766143547,2.46,1.48,2.47,1.46,0.022360679774998015
1766143548,2.46,1.48,2.47,1.46,0.022360679774998015
1766143548,2.46,1.48,2.47,1.47,0.01414213562373112
1766143548,2.46,1.48,2.47,1.47,0.01414213562373112
1766143548,2.46,1.48,2.47,1.47,0.01414213562373112
1766143548,2.46,1.48,2.47,1.48,0.010000000000000231
1766143548,2.46,1.48,2.46,1.48,0.0
1766143548,2.46,1.48,2.46,1.48,0.0
1766143548,2.46,1.48,2.49,1.46,0.036055512754640105
1766143548,2.46,1.48,2.48,1.45,0.036055512754639925
1766143548,2.46,1.48,2.48,1.46,0.028284271247461926
1766143549,2.46,1.48,2.49,1.44,0.050000000000000176
1766143549,2.46,1.48,2.48,1.45,0.036055512754639925
1766143549,2.46,1.48,2.47,1.46,0.022360679774998015
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143549,2.46,1.48,2.45,1.47,0.014142135623730807
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143549,2.46,1.48,2.46,1.47,0.010000000000000009
1766143550,2.46,1.48,2.45,1.47,0.014142135623730807
1766143550,2.46,1.48,2.47,1.47,0.01414213562373112
1766143550,2.46,1.48,2.45,1.47,0.014142135623730807
1766143550,2.46,1.48,2.46,1.47,0.010000000000000009
1766143550,2.46,1.48,2.45,1.48,0.009999999999999787
1766143550,2.46,1.48,2.45,1.46,0.022360679774997817
1766143550,2.46,1.48,2.45,1.45,0.03162277660168375
1766143550,2.46,1.48,2.45,1.45,0.03162277660168375
1766143550,2.46,1.48,2.44,1.45,0.036055512754639925
1766143550,2.46,1.48,2.44,1.46,0.028284271247461926
1766143551,2.46,1.48,2.45,1.46,0.022360679774997817
1766143551,2.46,1.48,2.46,1.47,0.010000000000000009
1766143551,2.46,1.48,2.46,1.47,0.010000000000000009
1766143551,2.46,1.48,2.47,1.48,0.010000000000000231
1766143551,2.46,1.48,2.47,1.48,0.010000000000000231
1766143551,2.46,1.48,2.48,1.48,0.020000000000000018
1766143551,2.46,1.48,2.46,1.47,0.010000000000000009
1766143551,2.46,1.48,2.47,1.48,0.010000000000000231
1766143551,2.46,1.48,2.47,1.5,0.022360679774998015
1766143551,2.46,1.48,2.47,1.49,0.01414213562373112
1766143552,2.46,1.48,2.47,1.48,0.010000000000000231
1766143552,2.46,1.48,2.48,1.47,0.022360679774997918
1766143552,2.46,1.48,2.48,1.46,0.028284271247461926
1766143552,2.46,1.48,2.48,1.46,0.028284271247461926
1766143552,2.46,1.48,2.49,1.46,0.036055512754640105
1766143552,2.46,1.48,2.48,1.46,0.028284271247461926
1766143552,2.46,1.48,2.48,1.46,0.028284271247461926
1766143552,2.46,1.48,2.47,1.46,0.022360679774998015
1766143552,2.46,1.48,2.48,1.46,0.028284271247461926
1766143552,2.46,1.48,2.47,1.46,0.022360679774998015
1766143553,2.46,1.48,2.5,1.45,0.050000000000000044
