Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766062897,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062897,0.31,0.354,0.32,0.35,0.010770329614269018
1766062898,0.31,0.354,0.33,0.36,0.02088061301782112
1766062898,0.31,0.354,0.32,0.36,0.011661903789690611
1766062898,0.31,0.354,0.33,0.37,0.025612496949731417
1766062898,0.31,0.354,0.33,0.37,0.025612496949731417
1766062898,0.31,0.354,0.33,0.37,0.025612496949731417
1766062898,0.31,0.354,0.36,0.35,0.050159744815937796
1766062898,0.31,0.354,0.34,0.34,0.033105890714493706
1766062898,0.31,0.354,0.33,0.35,0.02039607805437116
1766062898,0.31,0.354,0.33,0.36,0.02088061301782112
1766062898,0.31,0.354,0.31,0.36,0.006000000000000005
1766062899,0.31,0.354,0.3,0.36,0.011661903789690611
1766062899,0.31,0.354,0.29,0.36,0.02088061301782112
1766062899,0.31,0.354,0.29,0.36,0.02088061301782112
1766062899,0.31,0.354,0.28,0.37,0.03399999999999998
1766062899,0.31,0.354,0.29,0.37,0.025612496949731417
1766062899,0.31,0.354,0.32,0.37,0.018867962264113223
1766062899,0.31,0.354,0.37,0.36,0.060299253726725344
1766062899,0.31,0.354,0.36,0.34,0.05192301994298865
1766062899,0.31,0.354,0.35,0.35,0.04019950248448354
1766062899,0.31,0.354,0.34,0.35,0.030265491900843138
1766062900,0.31,0.354,0.32,0.35,0.010770329614269018
1766062900,0.31,0.354,0.32,0.34,0.017204650534085222
1766062900,0.31,0.354,0.31,0.34,0.013999999999999957
1766062900,0.31,0.354,0.32,0.34,0.017204650534085222
1766062900,0.31,0.354,0.3,0.34,0.017204650534085222
1766062900,0.31,0.354,0.32,0.34,0.017204650534085222
1766062900,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062900,0.31,0.354,0.3,0.38,0.027856776554368263
1766062900,0.31,0.354,0.3,0.37,0.018867962264113223
1766062900,0.31,0.354,0.31,0.37,0.016000000000000014
1766062901,0.31,0.354,0.31,0.37,0.016000000000000014
1766062901,0.31,0.354,0.32,0.36,0.011661903789690611
1766062901,0.31,0.354,0.3,0.36,0.011661903789690611
1766062901,0.31,0.354,0.29,0.41,0.05946427498927402
1766062901,0.31,0.354,0.29,0.4,0.05015974481593785
1766062901,0.31,0.354,0.29,0.38,0.03280243893371348
1766062901,0.31,0.354,0.31,0.37,0.016000000000000014
1766062901,0.31,0.354,0.3,0.36,0.011661903789690611
1766062901,0.31,0.354,0.3,0.36,0.011661903789690611
1766062901,0.31,0.354,0.3,0.36,0.011661903789690611
1766062902,0.31,0.354,0.32,0.35,0.010770329614269018
1766062902,0.31,0.354,0.31,0.36,0.006000000000000005
1766062902,0.31,0.354,0.31,0.37,0.016000000000000014
1766062902,0.31,0.354,0.31,0.37,0.016000000000000014
1766062902,0.31,0.354,0.31,0.36,0.006000000000000005
1766062902,0.31,0.354,0.34,0.35,0.030265491900843138
1766062902,0.31,0.354,0.32,0.34,0.017204650534085222
1766062902,0.31,0.354,0.3,0.35,0.010770329614269018
1766062902,0.31,0.354,0.31,0.36,0.006000000000000005
1766062902,0.31,0.354,0.31,0.36,0.006000000000000005
1766062903,0.31,0.354,0.3,0.37,0.018867962264113223
1766062903,0.31,0.354,0.31,0.37,0.016000000000000014
1766062903,0.31,0.354,0.33,0.38,0.03280243893371348
1766062903,0.31,0.354,0.33,0.37,0.025612496949731417
1766062903,0.31,0.354,0.32,0.36,0.011661903789690611
1766062903,0.31,0.354,0.32,0.36,0.011661903789690611
1766062903,0.31,0.354,0.32,0.35,0.010770329614269018
1766062903,0.31,0.354,0.31,0.36,0.006000000000000005
1766062903,0.31,0.354,0.35,0.37,0.043081318457076016
1766062903,0.31,0.354,0.33,0.36,0.02088061301782112
1766062904,0.31,0.354,0.32,0.35,0.010770329614269018
1766062904,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062904,0.31,0.354,0.31,0.36,0.006000000000000005
1766062904,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062904,0.31,0.354,0.3,0.36,0.011661903789690611
1766062904,0.31,0.354,0.3,0.35,0.010770329614269018
1766062904,0.31,0.354,0.32,0.36,0.011661903789690611
1766062904,0.31,0.354,0.31,0.36,0.006000000000000005
1766062904,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062904,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062905,0.31,0.354,0.31,0.36,0.006000000000000005
1766062905,0.31,0.354,0.31,0.35,0.0040000000000000036
1766062905,0.31,0.354,0.31,0.35,0.0040000000000000036
