Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766144028,1.42,0.96,1.48,0.99,0.06708203932499375
1766144028,1.42,0.96,1.46,0.98,0.044721359549995836
1766144029,1.42,0.96,1.45,0.98,0.036055512754639925
1766144029,1.42,0.96,1.45,0.97,0.03162277660168382
1766144029,1.42,0.96,1.44,0.96,0.020000000000000018
1766144029,1.42,0.96,1.45,0.98,0.036055512754639925
1766144029,1.42,0.96,1.44,0.97,0.022360679774997918
1766144029,1.42,0.96,1.43,0.95,0.014142135623730963
1766144029,1.42,0.96,1.43,0.98,0.022360679774997918
1766144029,1.42,0.96,1.42,0.95,0.010000000000000009
1766144029,1.42,0.96,1.42,0.97,0.010000000000000009
1766144029,1.42,0.96,1.41,0.97,0.014142135623730963
1766144030,1.42,0.96,1.41,0.97,0.014142135623730963
1766144030,1.42,0.96,1.41,0.96,0.010000000000000009
1766144030,1.42,0.96,1.41,0.97,0.014142135623730963
1766144030,1.42,0.96,1.41,0.95,0.014142135623730963
1766144030,1.42,0.96,1.4,0.95,0.022360679774997918
1766144030,1.42,0.96,1.4,0.95,0.022360679774997918
1766144030,1.42,0.96,1.39,0.94,0.036055512754639925
1766144030,1.42,0.96,1.4,0.93,0.036055512754639835
1766144030,1.42,0.96,1.42,0.93,0.029999999999999916
1766144030,1.42,0.96,1.42,0.94,0.020000000000000018
1766144031,1.42,0.96,1.43,0.97,0.014142135623730963
1766144031,1.42,0.96,1.42,0.98,0.020000000000000018
1766144031,1.42,0.96,1.42,0.98,0.020000000000000018
1766144031,1.42,0.96,1.42,0.96,0.0
1766144031,1.42,0.96,1.42,0.95,0.010000000000000009
1766144031,1.42,0.96,1.42,0.95,0.010000000000000009
1766144031,1.42,0.96,1.4,0.96,0.020000000000000018
1766144031,1.42,0.96,1.4,0.96,0.020000000000000018
1766144031,1.42,0.96,1.41,0.95,0.014142135623730963
1766144031,1.42,0.96,1.41,0.96,0.010000000000000009
1766144032,1.42,0.96,1.42,0.97,0.010000000000000009
1766144032,1.42,0.96,1.42,0.97,0.010000000000000009
1766144032,1.42,0.96,1.42,0.98,0.020000000000000018
1766144032,1.42,0.96,1.42,0.98,0.020000000000000018
1766144032,1.42,0.96,1.42,0.98,0.020000000000000018
1766144032,1.42,0.96,1.42,0.96,0.0
1766144032,1.42,0.96,1.42,0.96,0.0
1766144032,1.42,0.96,1.41,0.97,0.014142135623730963
1766144032,1.42,0.96,1.42,0.97,0.010000000000000009
1766144032,1.42,0.96,1.42,0.97,0.010000000000000009
1766144033,1.42,0.96,1.42,0.97,0.010000000000000009
1766144033,1.42,0.96,1.41,0.96,0.010000000000000009
1766144033,1.42,0.96,1.41,0.96,0.010000000000000009
1766144033,1.42,0.96,1.41,0.97,0.014142135623730963
1766144033,1.42,0.96,1.43,0.95,0.014142135623730963
1766144033,1.42,0.96,1.42,0.96,0.0
1766144033,1.42,0.96,1.41,0.96,0.010000000000000009
1766144033,1.42,0.96,1.42,0.96,0.0
1766144033,1.42,0.96,1.41,0.95,0.014142135623730963
1766144033,1.42,0.96,1.41,0.94,0.022360679774997918
1766144034,1.42,0.96,1.42,0.94,0.020000000000000018
1766144034,1.42,0.96,1.41,0.94,0.022360679774997918
1766144034,1.42,0.96,1.42,0.95,0.010000000000000009
1766144034,1.42,0.96,1.42,0.97,0.010000000000000009
1766144034,1.42,0.96,1.42,0.96,0.0
1766144034,1.42,0.96,1.43,0.97,0.014142135623730963
1766144034,1.42,0.96,1.42,0.95,0.010000000000000009
1766144034,1.42,0.96,1.42,0.94,0.020000000000000018
1766144034,1.42,0.96,1.43,0.93,0.031622776601683715
1766144034,1.42,0.96,1.43,0.94,0.022360679774997918
1766144035,1.42,0.96,1.43,0.97,0.014142135623730963
1766144035,1.42,0.96,1.43,0.95,0.014142135623730963
1766144035,1.42,0.96,1.43,0.95,0.014142135623730963
1766144035,1.42,0.96,1.43,0.95,0.014142135623730963
1766144035,1.42,0.96,1.42,0.95,0.010000000000000009
1766144035,1.42,0.96,1.41,0.96,0.010000000000000009
1766144035,1.42,0.96,1.42,0.97,0.010000000000000009
1766144035,1.42,0.96,1.42,0.96,0.0
1766144035,1.42,0.96,1.42,0.96,0.0
