Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766059000,0.85,0.9,0.89,0.88,0.044721359549995836
1766059000,0.85,0.9,0.89,0.89,0.041231056256176644
1766059000,0.85,0.9,0.9,0.89,0.050990195135927896
1766059000,0.85,0.9,0.9,0.9,0.050000000000000044
1766059000,0.85,0.9,0.89,0.9,0.040000000000000036
1766059001,0.85,0.9,0.89,0.91,0.041231056256176644
1766059001,0.85,0.9,0.88,0.91,0.03162277660168382
1766059001,0.85,0.9,0.88,0.91,0.03162277660168382
1766059001,0.85,0.9,0.89,0.91,0.041231056256176644
1766059001,0.85,0.9,0.89,0.91,0.041231056256176644
1766059001,0.85,0.9,0.87,0.88,0.028284271247461926
1766059001,0.85,0.9,0.87,0.9,0.020000000000000018
1766059001,0.85,0.9,0.87,0.9,0.020000000000000018
1766059001,0.85,0.9,0.87,0.88,0.028284271247461926
1766059001,0.85,0.9,0.87,0.89,0.022360679774997918
1766059002,0.85,0.9,0.87,0.9,0.020000000000000018
1766059002,0.85,0.9,0.86,0.9,0.010000000000000009
1766059002,0.85,0.9,0.86,0.91,0.014142135623730963
1766059002,0.85,0.9,0.87,0.91,0.022360679774997918
1766059002,0.85,0.9,0.86,0.89,0.014142135623730963
1766059002,0.85,0.9,0.88,0.9,0.030000000000000027
1766059002,0.85,0.9,0.87,0.91,0.022360679774997918
1766059002,0.85,0.9,0.88,0.91,0.03162277660168382
1766059002,0.85,0.9,0.89,0.91,0.041231056256176644
1766059002,0.85,0.9,0.89,0.89,0.041231056256176644
1766059003,0.85,0.9,0.88,0.91,0.03162277660168382
1766059003,0.85,0.9,0.87,0.91,0.022360679774997918
1766059003,0.85,0.9,0.87,0.91,0.022360679774997918
1766059003,0.85,0.9,0.89,0.91,0.041231056256176644
1766059003,0.85,0.9,0.89,0.91,0.041231056256176644
1766059003,0.85,0.9,0.88,0.92,0.036055512754639925
1766059003,0.85,0.9,0.88,0.92,0.036055512754639925
1766059003,0.85,0.9,0.84,0.87,0.03162277660168382
1766059003,0.85,0.9,0.87,0.88,0.028284271247461926
1766059003,0.85,0.9,0.89,0.9,0.040000000000000036
1766059004,0.85,0.9,0.88,0.91,0.03162277660168382
1766059004,0.85,0.9,0.88,0.89,0.03162277660168382
1766059004,0.85,0.9,0.86,0.88,0.022360679774997918
1766059004,0.85,0.9,0.86,0.88,0.022360679774997918
1766059004,0.85,0.9,0.88,0.89,0.03162277660168382
1766059004,0.85,0.9,0.88,0.9,0.030000000000000027
1766059004,0.85,0.9,0.88,0.91,0.03162277660168382
1766059004,0.85,0.9,0.88,0.91,0.03162277660168382
1766059004,0.85,0.9,0.89,0.9,0.040000000000000036
1766059004,0.85,0.9,0.88,0.87,0.04242640687119289
1766059005,0.85,0.9,0.89,0.89,0.041231056256176644
1766059005,0.85,0.9,0.89,0.89,0.041231056256176644
1766059005,0.85,0.9,0.89,0.89,0.041231056256176644
1766059005,0.85,0.9,0.89,0.91,0.041231056256176644
1766059005,0.85,0.9,0.89,0.91,0.041231056256176644
1766059005,0.85,0.9,0.89,0.88,0.044721359549995836
1766059005,0.85,0.9,0.88,0.89,0.03162277660168382
