Timestamp,Enc_X_Transformed,Enc_Y_Transformed,UWB_X,UWB_Y,Delta_Error
1766143355,2.47,0.99,2.46,0.97,0.022360679774998015
1766143355,2.47,0.99,2.47,0.98,0.010000000000000009
1766143355,2.47,0.99,2.47,0.98,0.010000000000000009
1766143355,2.47,0.99,2.47,0.99,0.0
1766143355,2.47,0.99,2.48,0.99,0.009999999999999787
1766143355,2.47,0.99,2.48,0.99,0.009999999999999787
1766143355,2.47,0.99,2.46,0.97,0.022360679774998015
1766143355,2.47,0.99,2.46,0.97,0.022360679774998015
1766143355,2.47,0.99,2.47,0.98,0.010000000000000009
1766143355,2.47,0.99,2.48,0.98,0.014142135623730807
1766143356,2.47,0.99,2.49,0.97,0.028284271247461926
1766143356,2.47,0.99,2.49,0.97,0.028284271247461926
1766143356,2.47,0.99,2.48,0.97,0.022360679774997817
1766143356,2.47,0.99,2.48,0.98,0.014142135623730807
1766143356,2.47,0.99,2.49,0.98,0.022360679774997918
1766143356,2.47,0.99,2.49,0.98,0.022360679774997918
1766143356,2.47,0.99,2.48,0.98,0.014142135623730807
1766143356,2.47,0.99,2.49,0.97,0.028284271247461926
1766143356,2.47,0.99,2.49,0.96,0.036055512754639925
1766143356,2.47,0.99,2.47,0.96,0.030000000000000027
1766143357,2.47,0.99,2.47,0.96,0.030000000000000027
1766143357,2.47,0.99,2.47,0.98,0.010000000000000009
1766143357,2.47,0.99,2.48,0.98,0.014142135623730807
1766143357,2.47,0.99,2.48,0.98,0.014142135623730807
1766143357,2.47,0.99,2.48,0.99,0.009999999999999787
1766143357,2.47,0.99,2.48,0.99,0.009999999999999787
1766143357,2.47,0.99,2.48,0.98,0.014142135623730807
1766143357,2.47,0.99,2.48,0.97,0.022360679774997817
1766143357,2.47,0.99,2.49,0.97,0.028284271247461926
1766143357,2.47,0.99,2.5,0.98,0.03162277660168361
1766143358,2.47,0.99,2.49,0.99,0.020000000000000018
1766143358,2.47,0.99,2.48,0.99,0.009999999999999787
1766143358,2.47,0.99,2.48,1.01,0.022360679774997817
1766143358,2.47,0.99,2.49,1.0,0.022360679774997918
1766143358,2.47,0.99,2.46,0.98,0.01414213562373112
1766143358,2.47,0.99,2.47,1.0,0.010000000000000009
1766143358,2.47,0.99,2.47,1.0,0.010000000000000009
1766143358,2.47,0.99,2.47,0.98,0.010000000000000009
1766143358,2.47,0.99,2.48,0.97,0.022360679774997817
1766143358,2.47,0.99,2.45,0.96,0.036055512754639925
1766143359,2.47,0.99,2.47,0.96,0.030000000000000027
1766143359,2.47,0.99,2.47,0.97,0.020000000000000018
1766143359,2.47,0.99,2.47,0.98,0.010000000000000009
1766143359,2.47,0.99,2.48,0.98,0.014142135623730807
1766143359,2.47,0.99,2.48,0.98,0.014142135623730807
1766143359,2.47,0.99,2.48,0.99,0.009999999999999787
1766143359,2.47,0.99,2.49,1.0,0.022360679774997918
1766143359,2.47,0.99,2.5,0.99,0.029999999999999805
1766143359,2.47,0.99,2.49,0.97,0.028284271247461926
1766143359,2.47,0.99,2.49,0.97,0.028284271247461926
1766143360,2.47,0.99,2.48,0.98,0.014142135623730807
1766143360,2.47,0.99,2.46,0.96,0.031622776601683895
1766143360,2.47,0.99,2.46,0.98,0.01414213562373112
1766143360,2.47,0.99,2.47,0.98,0.010000000000000009
1766143360,2.47,0.99,2.48,0.97,0.022360679774997817
1766143360,2.47,0.99,2.48,0.97,0.022360679774997817
1766143360,2.47,0.99,2.49,0.97,0.028284271247461926
1766143360,2.47,0.99,2.49,0.98,0.022360679774997918
1766143360,2.47,0.99,2.49,0.97,0.028284271247461926
1766143360,2.47,0.99,2.49,0.96,0.036055512754639925
1766143361,2.47,0.99,2.48,0.99,0.009999999999999787
1766143361,2.47,0.99,2.48,1.0,0.014142135623730807
1766143361,2.47,0.99,2.48,1.0,0.014142135623730807
1766143361,2.47,0.99,2.48,1.0,0.014142135623730807
1766143361,2.47,0.99,2.48,0.99,0.009999999999999787
1766143361,2.47,0.99,2.48,1.0,0.014142135623730807
1766143361,2.47,0.99,2.49,0.99,0.020000000000000018
1766143361,2.47,0.99,2.49,0.99,0.020000000000000018
1766143361,2.47,0.99,2.49,0.98,0.022360679774997918
1766143361,2.47,0.99,2.49,0.98,0.022360679774997918
1766143362,2.47,0.99,2.48,0.98,0.014142135623730807
1766143362,2.47,0.99,2.48,0.99,0.009999999999999787
1766143362,2.47,0.99,2.48,0.99,0.009999999999999787
1766143362,2.47,0.99,2.46,0.98,0.01414213562373112
1766143362,2.47,0.99,2.47,0.97,0.020000000000000018
1766143362,2.47,0.99,2.47,0.98,0.010000000000000009
1766143362,2.47,0.99,2.47,0.99,0.0
1766143362,2.47,0.99,2.48,0.98,0.014142135623730807
1766143362,2.47,0.99,2.48,0.99,0.009999999999999787
1766143362,2.47,0.99,2.47,0.99,0.0
