
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.00', 'le_us=5523', 'est[0.25,0.39,-0.13,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.28', '592F[0.50,0.00,0.00]=0.25', 'le_us=5279', 'est[0.26,0.42,-0.07,60]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.20', 'CD37[0.00,0.00,0.00]=0.38', 'le_us=5889', 'est[0.26,0.41,-0.02,52]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.26', 'CD37[0.00,0.00,0.00]=0.32', 'le_us=5157', 'est[0.25,0.43,0.03,45]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.24', 'CD37[0.00,0.00,0.00]=0.29', 'le_us=5523', 'est[0.25,0.43,0.06,40]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5462', 'est[0.25,0.39,0.09,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.23', 'CD37[0.00,0.00,0.00]=0.32', 'le_us=5157', 'est[0.25,0.40,0.11,40]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.20', 'CD37[0.00,0.00,0.00]=0.27', 'le_us=5493', 'est[0.25,0.40,0.12,54]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'CD37[0.00,0.00,0.00]=0.27', 'le_us=5065', 'est[0.25,0.42,0.05,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.29', '592F[0.50,0.00,0.00]=0.18', 'le_us=5249', 'est[0.25,0.42,0.00,62]']"
