timestamp,odom_x,odom_y,odom_theta,ticks_L,ticks_R,delta_d,cumulative_d
1765545181.8025498,0.0,0.0,0.0,0,0,0.0,0.0
1765545181.9027169,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.002658,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.1027696,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.2025573,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.3026536,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.402664,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.5026965,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.7024827,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.8027341,0.0,0.0,0.0,0,0,0.0,0.0
1765545182.9026475,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.0026712,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.1027088,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.2026014,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.3025374,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.4026704,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.5027068,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.6026154,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.8027484,0.0,0.0,0.0,0,0,0.0,0.0
1765545183.902769,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.002763,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.1026433,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.2026052,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.3027058,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.40286,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.5026577,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.6027427,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.7027507,0.0,0.0,0.0,0,0,0.0,0.0
1765545184.902634,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.0026762,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.102647,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.202699,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.3027976,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.4026387,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.5027745,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.6026077,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.7026172,0.0,0.0,0.0,0,0,0.0,0.0
1765545185.8026216,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.0027306,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.1024482,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.2027059,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.3026612,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.4026566,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.5027328,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.6026278,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.7025187,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.8027215,0.0,0.0,0.0,0,0,0.0,0.0
1765545186.9027257,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.102646,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.202713,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.3026917,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.4028196,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.5026257,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.6026325,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.7027445,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.8025892,0.0,0.0,0.0,0,0,0.0,0.0
1765545187.9028544,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.0024862,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.2027066,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.3030684,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.402929,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.5028327,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.602837,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.7026236,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.8025675,0.0,0.0,0.0,0,0,0.0,0.0
1765545188.9027572,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.002893,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.1029847,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.3026993,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.402848,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.502766,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.6029823,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.7028763,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.802837,0.0,0.0,0.0,0,0,0.0,0.0
1765545189.9027045,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.0026329,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.1027067,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.2028403,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.4029107,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.502972,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.602815,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.7027361,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.802544,0.0,0.0,0.0,0,0,0.0,0.0
1765545190.9026635,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.0024858,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.1025527,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.202409,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.3025856,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.5028334,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.6026566,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.7027504,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.8025959,0.0,0.0,0.0,0,0,0.0,0.0
1765545191.9025798,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.0027022,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.102687,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.2025373,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.302407,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.4026377,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.6026392,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.7025762,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.8026123,0.0,0.0,0.0,0,0,0.0,0.0
1765545192.9029946,0.0,0.0,0.0,0,0,0.0,0.0
1765545193.002623,0.0,0.0,0.0,0,0,0.0,0.0
